asset_number,asset_description,lamp_type_lupvalue,lamp_rating_w,mounting_type_lupvalue,lat,lon,location
1543282,Feature Lighting - River Esplanade between Webb Bridge and Swinging Basin Lane,,,,-37.824689078076084,144.94565360284088,"(-37.824689078076084, 144.94565360284088)"
1541431,Feature Lighting - Docklands Park,13,14,Pole: Multiple Fixed,-37.82025464498202,144.9463310837558,"(-37.82025464498202, 144.9463310837558)"
1487775,Feature Lighting - Docklands,,,,-37.815162062646436,144.94150283342347,"(-37.815162062646436, 144.94150283342347)"
1544511,Feature Lighting - Birrarung Marr,13,70,Pole: Multiple Fixed,-37.81829051018755,144.9709805846122,"(-37.81829051018755, 144.9709805846122)"
1348468,Feature Lighting - Docklands,1,,Canopy,-37.817654929846476,144.9514941487389,"(-37.817654929846476, 144.9514941487389)"
1539959,Feature Lighting - Saint Mangos Lane between Caravel Lane and Newquay Promenade,13,70,Pole: Multiple Fixed,-37.81442827201545,144.94157923145082,"(-37.81442827201545, 144.94157923145082)"
1544352,Feature Lighting - Manningham Street between Church Street and Lennon Street,2,14,Pole: Multiple Fixed,-37.78673854016143,144.94201406833585,"(-37.78673854016143, 144.94201406833585)"
1542165,Feature Lighting - Birrarung Marr,9,,Pole: Multiple Fixed,-37.819020445611216,144.97309550642203,"(-37.819020445611216, 144.97309550642203)"
1540787,Feature Lighting - Queensbridge Square between Queens Bridge Street and Southbank Boulevard,13,14,Pole: Multiple Fixed,-37.82122080215262,144.96172025797665,"(-37.82122080215262, 144.96172025797665)"
1544831,Feature Lighting - Lincoln Square,9,,Pole: Multiple Fixed,-37.80242402087203,144.96323168275387,"(-37.80242402087203, 144.96323168275387)"
1346554,Feature Lighting - Docklands,5,70,Inground,-37.815826710875555,144.9451633850556,"(-37.815826710875555, 144.9451633850556)"
1542336,Feature Lighting - Swanston Street between La Trobe Street and Little La Trobe Street,9,,Pole: Multiple Fixed,-37.809149515279444,144.96373127866036,"(-37.809149515279444, 144.96373127866036)"
1539640,Feature Lighting - Merchant Street between Bourke Street and Victoria Harbour Promenade,9,,Pole: Multiple Fixed,-37.81926985177527,144.94333949956336,"(-37.81926985177527, 144.94333949956336)"
1543404,Feature Lighting - Upfield Railway,9,,Pole: Multiple Fixed,-37.78659039130211,144.94226975583564,"(-37.78659039130211, 144.94226975583564)"
1539667,Feature Lighting - Merchant Street between Bourke Street and Victoria Harbour Promenade,9,,Pole: Multiple Fixed,-37.81916768901775,144.94357340171035,"(-37.81916768901775, 144.94357340171035)"
