Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Trading name,Number of patrons,Location
2017,861,102503,102503,161-173 Domain Road,South Yarra,Botanical Hotel,245,"(-37.83431735, 144.9816996)"
2017,72,110106,110106,263-267 William Street,Melbourne (CBD),Metropolitan Hotel,300,"(-37.81292397, 144.9565837)"
2017,14,103165,103165,1-5 Elizabeth Street,Melbourne (CBD),Dreams Gentlemen's Club,160,"(-37.81805666, 144.964608)"
2017,64,104376,104376,14-20 Goldie Place,Melbourne (CBD),Word,200,"(-37.81328585, 144.960731)"
2017,54,105852,105852,401-405 Little Bourke Street,Melbourne (CBD),The Apartment Restaurant Club Lounge,250,"(-37.81403196, 144.9610348)"
2017,66,109392,109392,248-258 Swanston Street,Melbourne (CBD),Mesa Verde,175,"(-37.81199559, 144.9652504)"
2017,56,101202,101202,206-218 Bourke Street,Melbourne (CBD),VS Sports Bar,80,"(-37.81259409, 144.9668768)"
2017,56,108538,108538,163-169 Russell Street,Melbourne (CBD),Eden Bar,350,"(-37.81246709, 144.9676479)"
2017,84,106037,106037,324-328 Little Lonsdale Street,Melbourne (CBD),Alchemist's Refuge,60,"(-37.81167474, 144.9599402)"
2017,435,107481,107481,65-67 Peel Street,West Melbourne (Residential),The Drunken Poet Pty Ltd,50,"(-37.80666721, 144.955498)"
2017,375,103810,103810,5-17 Flemington Road,North Melbourne,RMIT Village Melbourne,356,"(-37.80140031, 144.9558713)"
2017,95,109314,109314,401-405 Swanston Street,Melbourne (CBD),Red Love Bar Musicroom,360,"(-37.80904283, 144.963217)"
2017,215,108202,108202,415-421 Rathdowne Street,Carlton,The Beaufort,50,"(-37.79652005, 144.9704262)"
2017,14,103951,103951,341-347 Flinders Lane,Melbourne (CBD),Bull And Bear Tavern,415,"(-37.81782313, 144.9630313)"
2017,55,101194,101194,314-336 Bourke Street,Melbourne (CBD),Mural Hall,900,"(-37.81344503, 144.9638295)"
2017,508,100820,100820,38-44 Barrett Street,Kensington,Henry St Brewhouse,75,"(-37.79811158, 144.9343238)"
2017,807,108054,108054,40-56 Queens Bridge Street,Southbank,Mesh/Tonic Bar,300,"(-37.8238538, 144.9597768)"
2017,27,541562,102071,121-131 Collins Street,Melbourne (CBD),RU-CO,400,"(-37.81516811, 144.9698467)"
2017,803,111175,110477,8 Whiteman Street,Southbank,Atrium Bar,100,"(-37.82312164, 144.9586604)"
2017,804,110542,110484,20-30 Convention Centre Place,Southbank,West Village NYC,150,"(-37.82539976, 144.9523782)"
2017,74,106018,106018,395-397 Little Lonsdale Street,Melbourne (CBD),Horse Bazaar,158,"(-37.81190077, 144.9602499)"
2017,43,101154,101154,483-501 Bourke Street,Melbourne (CBD),RACV City Club,410,"(-37.81587957, 144.9595925)"
2017,43,108069,108069,131-141 Queen Street,Melbourne (CBD),The Turf Bar & Restaurant,527,"(-37.81549904, 144.9605409)"
2017,33,100727,100727,5-9 Bank Place,Melbourne (CBD),Mitre Tavern,300,"(-37.81680457, 144.9603112)"
2017,74,106017,106017,391-393 Little Lonsdale Street,Melbourne (CBD),La La Land,175,"(-37.81187439, 144.9603411)"
2017,53,110145,110145,170-176 William Street,Melbourne (CBD),Cafe Lavita On William,50,"(-37.81492637, 144.9582309)"
2017,87,106059,106059,100 Little Lonsdale Street,Melbourne (CBD),Gami Chicken and Beer,73,"(-37.80913623, 144.9687195)"
2017,58,105657,105657,21 Liverpool Street,Melbourne (CBD),Double Happiness Bar / New Gold Mountain,164,"(-37.81118056, 144.9712639)"
2017,16,103938,103938,187 Flinders Lane,Melbourne (CBD),Mon Bijou,180,"(-37.81635789, 144.9683751)"
2017,104,103219,103219,413-417 Elizabeth Street,Melbourne (CBD),Workshop,230,"(-37.80918797, 144.9605226)"
2017,66,109392,109392,248-258 Swanston Street,Melbourne (CBD),Cookie,300,"(-37.81199559, 144.9652504)"
2017,57,101218,101218,118-122 Bourke Street,Melbourne (CBD),Fireflies Club,72,"(-37.81207418, 144.969548)"
2017,67,102199,102199,16-20 Corrs Lane,Melbourne (CBD),Euro House / Pulp Club,200,"(-37.81112914, 144.9683854)"
2017,103,104086,104086,211-213 Franklin Street,Melbourne (CBD),Island Somewhere,120,"(-37.8097181, 144.957829)"
2017,345,103402,103402,33 Errol Street,North Melbourne,Townhall Hotel North Melbourne,80,"(-37.80414139, 144.9489068)"
2017,17,103926,103926,125-127 Flinders Lane,Melbourne (CBD),GoGo Bar,300,"(-37.81568875, 144.9703998)"
2017,23,102098,102098,415-417 Collins Street,Melbourne (CBD),The Sherlock Holmes Inn,131,"(-37.81746814, 144.9608681)"
2017,362,109843,109843,232-238 Victoria Street,North Melbourne,The Public Bar,180,"(-37.80593327, 144.9585875)"
2017,658,110266,110266,120 Brunton Avenue,East Melbourne,Spotless Services,"2,800","(-37.81992883, 144.9832828)"
2017,85,105746,105746,183-265 La Trobe Street,Melbourne (CBD),Melbourne Central Lion Hotel,550,"(-37.81073331, 144.9630189)"
2017,67,102198,102198,22-26 Corrs Lane,Melbourne (CBD),Gr8 Bar,50,"(-37.8109979, 144.9683249)"
2017,35,102141,102141,280-292 Collins Street,Melbourne (CBD),The Charles Dickens Tavern,450,"(-37.81567229, 144.9645574)"
2017,57,101214,101214,146-150 Bourke Street,Melbourne (CBD),FM Karaoke Bar,100,"(-37.81235798, 144.9687387)"
2017,46,111394,111394,16-30 Russell Place,Melbourne (CBD),Bar Ampere,60,"(-37.81355434, 144.9674275)"
2017,17,103592,103592,11-37 Exhibition Street,Melbourne (CBD),The Fair Trader Cafe,118,"(-37.81546152, 144.9717262)"
2017,247,106238,106238,192-202 Lygon Street,Carlton,Players On Lygon,200,"(-37.80245924, 144.9670522)"
2017,33,105937,105937,435-443 Little Collins Street,Melbourne (CBD),Marrakech Bar,200,"(-37.81638558, 144.9600859)"
2017,63,105867,105867,428-432 Little Bourke Street,Melbourne (CBD),DANSK Restaurant,100,"(-37.81392392, 144.9597229)"
2017,33,110148,110148,98-110 William Street,Melbourne (CBD),The Australian Club,280,"(-37.81674542, 144.9591218)"
2017,66,108550,108550,213-217 Russell Street,Melbourne (CBD),Escape City,100,"(-37.81156167, 144.9672365)"
2017,11,108971,108971,561-585 Flinders Lane,Melbourne (CBD),Holiday Inn On Flinders Melbourne,100,"(-37.82020482, 144.9551524)"
